no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
7,Kelsey,Odom,Freshman,UT,11,20,7,8,5,0.75,1,0,0,0,0,0,East Mississippi,2
17,Lana,Atkins,Freshman,P/OF,43,22,3,14,5,0.773,1,0,0,0,0,0,East Mississippi,2
31,Carys,Goodwin,Freshman,P/INF,24,30,0,28,2,0.933,0,4,0,0,0,0,East Mississippi,2
24,Melina,Seiferd,Sophomore,P/1B,44,22,13,6,3,0.864,2,4,1,0.2,0,0,Hinds,2
4,River,Boultinghouse,Freshman,MIF,43,38,10,2,26,0.316,0,0,0,0,0,0,Hinds,2
26,Jaelyn,Bass,Sophomore,1B,31,12,9,0,3,0.75,0,0,0,0,0,0,Hinds,2
19,Sara,Long,Freshman,C/U,39,16,9,0,7,0.563,0,2,0,0,0,0,Hinds,2
8,Alexis,Moran,Freshman,OF,46,16,9,0,7,0.563,1,0,0,0,0,0,Hinds,2
25,Presley,Dease,Freshman,MIF,36,21,8,2,11,0.476,1,0,0,0,0,0,Hinds,2
5,Carli,Estis,Sophomore,C,39,8,7,0,1,0.875,0,0,0,0,2,0,Hinds,2
21,Natalie,Martin,Freshman,3B,45,23,5,2,16,0.304,0,0,0,0,0,0,Hinds,2
13,Kaitlyn,Papizan,Sophomore,OF,42,12,4,0,8,0.333,0,0,0,0,0,0,Hinds,2
3,Avery,Parrott,Sophomore,IF/P,35,5,4,0,1,0.8,1,0,0,0,0,0,Hinds,2
1,Haley,Shade,Freshman,C,16,4,3,0,1,0.75,0,0,0,0,0,0,Hinds,2
12,Kasey,Simmons,Freshman,P/1B,32,4,3,0,1,0.75,0,5,1,0.167,0,0,Hinds,2
11,Kendall,Calloway,Sophomore,P/U,25,5,2,1,2,0.6,1,2,0,0,0,0,Hinds,2
14,Karson,Lowery,Freshman,OF,23,4,2,0,2,0.5,1,0,0,0,0,0,Hinds,2
9,Riley,Myers,Freshman,P,22,4,2,0,2,0.5,0,2,0,0,0,0,Hinds,2
10,Gracie,Lay,Freshman,MIF/U,29,5,0,1,4,0.2,0,0,0,0,0,0,Hinds,2
15,Kat,Smith,Freshman,P/1B,25,3,0,0,3,0,1,0,0,0,0,0,Hinds,2
6,Makenzie,Young,Freshman,OF,24,1,0,0,1,0,0,0,0,0,0,0,Hinds,2
5,Leah,Kinard,Sophomore,C/INF,49,130,122,8,0,1,2,34,16,0.32,2,0,Holmes,2
2,Maycee,Knight,Sophomore,INF,43,148,113,21,14,0.905,2,0,0,0,0,0,Holmes,2
12,Lanie,Phillips,Sophomore,INF/OF,49,116,108,6,2,0.983,0,0,0,0,0,0,Holmes,2
7,Neera,Bell,Freshman,INF,46,127,103,13,11,0.913,6,1,1,0.5,0,0,Holmes,2
25,Iris,Farve,Sophomore,INF,48,107,100,2,5,0.953,0,0,0,0,0,0,Holmes,2
26,AnnaLeigh,Jones,Sophomore,C/INF,45,99,89,7,3,0.97,0,18,1,0.053,4,0,Holmes,2
13,LaCristia,Edwards,Sophomore,OF,49,65,62,3,0,1,1,0,0,0,0,0,Holmes,2
22,Elleigh,Willis,Sophomore,P/INF,43,76,59,10,7,0.908,3,5,0,0,0,1,Holmes,2
4,McKayla,Crowley,Sophomore,OF,49,53,51,0,2,0.962,0,0,0,0,0,0,Holmes,2
16,Katelynn,Gipson,Sophomore,INF,37,62,45,8,9,0.855,2,0,0,0,0,0,Holmes,2
14,Reese,Page,Sophomore,OF,30,63,44,15,4,0.937,1,0,0,0,0,0,Holmes,2
23,Emmagail,Kelley,Sophomore,P,26,47,29,12,6,0.872,0,7,2,0.222,0,0,Holmes,2
6,Kasandra,Gaona,Freshman,P,14,8,7,1,0,1,0,0,0,0,0,0,Holmes,2
42,Secora,Weeks,Freshman,,5,5,4,0,1,0.8,0,0,0,0,0,0,Holmes,2
15,Dallas,Brown,Sophomore,IF,11,4,3,0,1,0.75,0,0,0,0,0,0,Holmes,2
3,Kinley,Stewart,Sophomore,INF,19,2,2,0,0,1,0,2,0,0,1,0,Holmes,2
17,Chesney,Beckham,Freshman,P,3,1,1,0,0,1,0,0,0,0,0,0,Holmes,2
10,Maicee,Coleman,Freshman,INF,13,1,1,0,0,1,0,0,0,0,0,0,Holmes,2
20,Camille,Russell,Freshman,INF,6,1,0,1,0,1,0,0,0,0,0,0,Holmes,2
17,Rayne,Rippee,Sophomore,UT,39,233,221,7,5,0.979,11,0,0,0,0,0,Itawamba,2
30,Riley,Tyree,Freshman,C,43,243,205,28,10,0.959,2,5,1,0.167,0,0,Itawamba,2
8,Sarah Kate,Thompson,Sophomore,MIF,44,131,73,51,7,0.947,6,0,0,0,0,0,Itawamba,2
24,Jessi,Smith,Freshman,,40,74,68,3,3,0.959,2,0,0,0,0,0,Itawamba,2
22,Chloe,McClain,Freshman,C,13,60,54,5,1,0.983,1,0,0,0,0,0,Itawamba,2
11,Julia,Shaw,Freshman,P,33,58,42,13,3,0.948,1,2,0,0,0,0,Itawamba,2
1,Sammie,Day-Jones,Freshman,OF,45,45,41,4,0,1,0,0,0,0,0,0,Itawamba,2
13,Allie,Beckley,Freshman,UT,33,104,38,58,8,0.923,4,0,0,0,0,0,Itawamba,2
4,Hanna Grace,Gillean,Freshman,UT,28,41,35,2,4,0.902,0,0,0,0,0,0,Itawamba,2
2,Bailey,Ware,Sophomore,OF,38,36,28,2,6,0.833,0,0,0,0,0,0,Itawamba,2
18,Haylee,Alberson,Sophomore,P,41,89,25,52,12,0.865,3,0,0,0,0,0,Itawamba,2
6,Avery,Wolfe,Freshman,IF,29,58,15,37,6,0.897,1,0,0,0,0,0,Itawamba,2
5,Hallie,Turner,Freshman,P,28,69,13,49,7,0.899,4,0,0,0,0,0,Itawamba,2
10,Tayler,Bishop,Sophomore,UT,21,14,11,0,3,0.786,0,0,0,0,0,0,Itawamba,2
7,Tamiya,Martin,Freshman,,28,14,11,1,2,0.857,0,0,0,0,0,0,Itawamba,2
21,Maggie,McVey,Sophomore,OF,24,15,11,2,2,0.867,0,0,0,0,0,0,Itawamba,2
25,Emma Rose,Thompson,Freshman,,32,15,8,7,0,1,1,0,0,0,0,0,Itawamba,2
27,Lexi,Brown,Sophomore,1B/OF,13,5,3,1,1,0.8,0,0,0,0,0,0,Itawamba,2
12,Zoey,Rippee,Freshman,UT,9,12,3,4,5,0.583,0,0,0,0,0,0,Itawamba,2
9,Bryanna,Clemons,Freshman,OF,11,1,1,0,0,1,0,0,0,0,0,0,Itawamba,2
14,Emily,Robinson,Sophomore,P,30,32,1,29,2,0.938,0,3,1,0.25,0,0,Itawamba,2
15,Sadie,Wells,Sophomore,C,43,283,277,5,1,0.996,1,15,2,0.118,5,0,Jones,2
22,Lauren,Lindsey,Sophomore,INF,60,241,236,4,1,0.996,15,0,0,0,0,0,Jones,2
13,Landry,Dupont,Sophomore,INF,35,152,139,12,1,0.993,2,10,3,0.231,2,0,Jones,2
19,Kathryn,Smith,Sophomore,INF,59,161,103,51,7,0.957,10,0,0,0,0,0,Jones,2
5,Aaliyah,Dixon,Sophomore,OF,58,75,70,3,2,0.973,1,0,0,0,0,0,Jones,2
12,Gabby,Hoffman,Sophomore,INF,57,122,59,53,10,0.918,8,0,0,0,0,0,Jones,2
21,Elise,Jackson,Freshman,OF,54,59,57,1,1,0.983,1,0,0,0,0,0,Jones,2
3,Carly,Lewis,Sophomore,INF,60,146,57,83,6,0.959,6,0,0,0,0,0,Jones,2
9,Tia'Rain,Saunders,Sophomore,OF,54,56,54,2,0,1,0,0,0,0,0,0,Jones,2
17,Nia,Luckett,Sophomore,P/OF,60,83,47,36,0,1,0,6,1,0.143,0,0,Jones,2
34,Holly,Craft,Sophomore,P,33,24,7,16,1,0.958,1,6,1,0.143,0,0,Jones,2
2,Karagan,Howard,Sophomore,OF,23,8,7,1,0,1,0,0,0,0,0,0,Jones,2
4,Meg,Gatlin,Freshman,UTIL,45,6,6,0,0,1,0,0,0,0,0,0,Jones,2
23,Arin,Dale,Freshman,OF,31,3,3,0,0,1,0,0,0,0,0,0,Jones,2
7,Hanna,Zeitz,Sophomore,P,22,14,2,11,1,0.929,1,5,1,0.167,0,0,Jones,2
20,Meg,Vinson,Freshman,P,13,2,0,1,1,0.5,0,2,0,0,0,0,Jones,2
23,Abby,Touchet,Sophomore,C,61,285,281,2,2,0.993,1,16,9,0.36,12,1,LSU Eunice,2
7,Madison,Prejean,Sophomore,INF,61,141,121,4,16,0.887,2,0,0,0,0,0,LSU Eunice,2
13,Maci,Baldwin,Sophomore,INF,61,151,118,5,28,0.815,5,0,0,0,0,0,LSU Eunice,2
1,Mari,Baldwin,Sophomore,OF,61,116,110,2,4,0.966,0,0,0,0,0,0,LSU Eunice,2
20,Katie,Salling,Freshman,C,52,114,110,1,3,0.974,0,14,4,0.222,7,1,LSU Eunice,2
15,Maddie,Chretien,Freshman,INF/UTL,56,103,98,2,3,0.971,0,0,0,0,0,0,LSU Eunice,2
6,Sara,Roussel,Freshman,INF/UTL,59,105,98,5,2,0.981,2,0,0,0,0,0,LSU Eunice,2
19,Gabrielle,Huetter,Freshman,INF,48,60,52,2,6,0.9,4,0,0,0,0,0,LSU Eunice,2
24,Gracie,Bailey,Freshman,C/UTL,41,33,28,0,5,0.848,0,0,1,1,1,0,LSU Eunice,2
22,Kaitlyn,Savant,Freshman,INF/OF,32,28,28,0,0,1,0,0,0,0,0,0,LSU Eunice,2
8,Sina,Ballew,Freshman,OF,40,29,26,0,3,0.897,2,0,0,0,0,0,LSU Eunice,2
5,Skylar,Cheek,Sophomore,INF,22,27,22,0,5,0.815,0,0,0,0,0,0,LSU Eunice,2
11,Taylor,Palmer,Sophomore,INF,32,24,21,0,3,0.875,0,0,0,0,0,0,LSU Eunice,2
26,Emma,Shepherd,Sophomore,LHP,31,18,15,1,2,0.889,1,0,0,0,0,0,LSU Eunice,2
12,Landri,Campbell,Freshman,RHP,26,15,13,1,1,0.933,1,0,0,0,0,0,LSU Eunice,2
2,Chloe,Bennett,Sophomore,RHP,42,12,12,0,0,1,0,1,0,0,0,0,LSU Eunice,2
9,Allie,Bland,Freshman,RHP,20,9,8,0,1,0.889,0,0,0,0,0,0,LSU Eunice,2
10,Rylie,Tate,Freshman,OF,29,8,8,0,0,1,0,0,0,0,0,0,LSU Eunice,2
18,Natalie,Naomi,Freshman,OF,11,4,4,0,0,1,0,0,0,0,0,0,LSU Eunice,2
25,Demi,DeHerrera,Freshman,INF,12,3,3,0,0,1,0,0,0,0,0,0,LSU Eunice,2
14,Lindsey,Burnett,Freshman,UTL,10,2,2,0,0,1,0,0,0,0,0,0,LSU Eunice,2
3,Mikayla,Cashdollar,Sophomore,OF,13,3,2,0,1,0.667,0,0,0,0,0,0,LSU Eunice,2
9,TABITHA,MAYFIELD,Freshman,C,46,258,247,9,2,0.992,0,26,4,0.133,6,0,Meridian,2
19,GABBY,BURNEY,Sophomore,C,43,187,155,28,4,0.979,0,60,19,0.241,14,0,Meridian,2
5,LAUREN,BROOKS,Freshman,P/IF,43,151,119,29,3,0.98,0,2,2,0.5,0,0,Meridian,2
18,SHILON,WATTS,Sophomore,IF,47,179,73,81,25,0.86,0,0,0,0,0,0,Meridian,2
24,JEYDA,BEN,Sophomore,OF,45,77,69,5,3,0.961,0,0,0,0,0,0,Meridian,2
3,MATTIE,GRANBERRY,Sophomore,IF,47,168,68,94,6,0.964,0,0,0,0,0,0,Meridian,2
1,KIANA,BAILEY,Freshman,OF,47,53,51,0,2,0.962,0,0,0,0,0,0,Meridian,2
11,AMANI,WILSON,Sophomore,UT,36,56,51,2,3,0.946,0,0,0,0,0,0,Meridian,2
4,HANNA,HOMRA,Freshman,IF,41,133,39,82,12,0.91,0,0,0,0,0,0,Meridian,2
15,LYNNZIE,KENNEDY,Freshman,P/UT,45,24,15,6,3,0.875,0,0,0,0,0,0,Meridian,2
8,MADISON,WILLIAMS,Freshman,IF,14,31,10,17,4,0.871,0,0,0,0,0,0,Meridian,2
7,SARA,GAYLORD,Sophomore,P,24,26,7,14,5,0.808,0,1,1,0.5,0,0,Meridian,2
14,JALIN,COLEMAN,Freshman,IF,11,3,1,2,0,1,0,0,0,0,0,0,Meridian,2
30,PHALLYN,CLARK,Freshman,P,24,4,0,4,0,1,0,1,0,0,0,0,Meridian,2
4,Erica,Janson,Freshman,C,46,131,100,19,12,0.908,1,82,6,0.068,23,0,Mississippi Delta,2
1,Taryn,Clark,Sophomore,RHP,48,113,97,12,4,0.965,4,8,0,0,0,0,Mississippi Delta,2
25,Madison,Melton,Freshman,LHP,48,125,88,27,10,0.92,4,14,1,0.067,0,0,Mississippi Delta,2
6,Mckenna,Brown,Freshman,LHP/OF,47,102,82,8,12,0.882,2,0,0,0,0,0,Mississippi Delta,2
16,Sara Bess,Morgan,Freshman,LHP,39,97,81,9,7,0.928,6,0,0,0,0,0,Mississippi Delta,2
10,Anna Marie,Sternisha,Sophomore,IF,48,160,75,76,9,0.944,7,0,0,0,0,0,Mississippi Delta,2
14,Tyler,Vannucci,Freshman,C,48,115,66,36,13,0.887,3,3,0,0,1,0,Mississippi Delta,2
22,Elizabeth,Carpenter,Freshman,UTL,48,142,60,70,12,0.915,12,0,0,0,0,0,Mississippi Delta,2
13,Shikeria,Burks,Sophomore,UTL,45,71,58,3,10,0.859,1,0,0,0,0,0,Mississippi Delta,2
5,Aubrey,Carr,Freshman,UTL,28,35,27,2,6,0.829,1,0,0,0,0,0,Mississippi Delta,2
2,Makyla,Benge,Freshman,OF,19,27,21,0,6,0.778,0,0,0,0,0,0,Mississippi Delta,2
33,Marqueshia,Starks,Sophomore,OF,10,21,19,1,1,0.952,0,0,0,0,0,0,Mississippi Delta,2
7,Toniya,Randle,Freshman,UTL,22,17,11,0,6,0.647,0,0,0,0,0,0,Mississippi Delta,2
17,Jaliyah,Davis,Sophomore,INF,7,3,3,0,0,1,0,0,0,0,0,0,Mississippi Delta,2
22,K.K.,Agner,Sophomore,IF,59,388,339,40,9,0.977,11,0,0,0,0,0,Mississippi Gulf Coast,2
21,Kamryn,LaFosse,Freshman,C,57,235,222,11,2,0.991,4,57,5,0.081,8,0,Mississippi Gulf Coast,2
4,Kate,Brannan,Sophomore,OF,59,113,103,3,7,0.938,0,0,0,0,0,0,Mississippi Gulf Coast,2
11,Abby,Vance,Sophomore,P/UTL,59,214,98,99,17,0.921,9,2,0,0,0,0,Mississippi Gulf Coast,2
23,Breanna,Green,Sophomore,UTL,59,184,76,93,15,0.918,8,0,0,0,0,0,Mississippi Gulf Coast,2
1,Jorja,Roberson,Freshman,OF/1B,56,79,70,3,6,0.924,0,0,0,0,0,0,Mississippi Gulf Coast,2
2,Laurel,Ladner,Sophomore,IF,58,167,45,97,25,0.85,6,0,0,0,0,0,Mississippi Gulf Coast,2
18,Natalie,Shaw,Freshman,C,20,48,45,2,1,0.979,1,11,1,0.083,3,0,Mississippi Gulf Coast,2
5,Jett,Harrell,Freshman,P/OF,59,86,44,33,9,0.895,1,11,0,0,0,0,Mississippi Gulf Coast,2
3,Madisyn,Cobbs,Sophomore,P,28,39,30,6,3,0.923,0,1,0,0,0,0,Mississippi Gulf Coast,2
12,Olivia,Plummer,Sophomore,OF,50,30,27,0,3,0.9,2,1,0,0,0,0,Mississippi Gulf Coast,2
9,Akira,Causey,Sophomore,OF,29,13,11,0,2,0.846,0,0,0,0,0,0,Mississippi Gulf Coast,2
17,Abi,Williams,Freshman,UTL,17,30,6,21,3,0.9,1,0,0,0,0,0,Mississippi Gulf Coast,2
6,Kennedy,Brown,Sophomore,P,32,15,2,12,1,0.933,0,1,0,0,0,0,Mississippi Gulf Coast,2
24,Kylie,Burnette,Freshman,P,35,28,2,23,3,0.893,1,4,1,0.2,0,0,Mississippi Gulf Coast,2
7,Kaydee,Smith,Sophomore,OF,33,8,2,1,5,0.375,0,0,0,0,0,0,Mississippi Gulf Coast,2
20,Chloe,Litchfield,Sophomore,C/IF,19,2,1,0,1,0.5,0,2,0,0,0,0,Mississippi Gulf Coast,2
14,Halle,Stafford,Sophomore,IF,5,2,1,1,0,1,0,0,0,0,0,0,Mississippi Gulf Coast,2
8,Taylor,Styers,Freshman,P/2B,18,5,1,4,0,1,0,1,0,0,0,0,Mississippi Gulf Coast,2
14,Brianne,Locke,Sophomore,INF,47,276,260,13,3,0.989,5,0,0,0,0,0,Northeast Mississippi,2
15,Emme,Muizers,,C/INF,37,211,196,14,1,0.995,0,32,7,0.179,3,0,Northeast Mississippi,2
17,Natalie,McKinney,Freshman,C/INF,29,155,145,7,3,0.981,1,16,2,0.111,1,1,Northeast Mississippi,2
9,Annaleise,Rogers,Freshman,INF,29,95,91,3,1,0.989,2,0,0,0,0,0,Northeast Mississippi,2
21,Charly,Clanton,Sophomore,INF,54,152,69,72,11,0.928,3,0,0,0,0,0,Northeast Mississippi,2
4,Cassidy,Duskin,Sophomore,P/OF,50,108,44,56,8,0.926,0,16,3,0.158,0,0,Northeast Mississippi,2
6,Bre,Harmon,Freshman,UTL,43,94,41,48,5,0.947,1,0,0,0,0,0,Northeast Mississippi,2
22,Elisa Claire,Young,Sophomore,OF,48,44,37,5,2,0.955,0,0,0,0,0,0,Northeast Mississippi,2
0,Emma,Callicutt,Freshman,OF,44,42,36,1,5,0.881,0,0,0,0,0,0,Northeast Mississippi,2
5,Caitlyn,Carnathan,Freshman,UTL,43,70,34,32,4,0.943,2,0,0,0,0,0,Northeast Mississippi,2
1,Alexie,Griffin,Sophomore,C/INF,54,131,34,80,17,0.87,3,0,0,0,0,0,Northeast Mississippi,2
8,Ava,Meeks,Freshman,P/OF,37,27,20,7,0,1,0,4,0,0,0,0,Northeast Mississippi,2
16,India,Ivy,Sophomore,UTL,40,16,12,2,2,0.875,0,0,0,0,0,0,Northeast Mississippi,2
7,Emma,Dempsey,Sophomore,P,26,28,6,20,2,0.929,0,18,3,0.143,0,0,Northeast Mississippi,2
13,Katelynn,King,Freshman,OF,4,3,3,0,0,1,0,0,0,0,0,0,Northeast Mississippi,2
11,Janna,Shaw,Freshman,P/OF,11,14,3,11,0,1,2,0,0,0,0,0,Northeast Mississippi,2
12,Madison,Bowman,Freshman,P,12,8,1,5,2,0.75,0,8,3,0.273,0,0,Northeast Mississippi,2
18,Sarah,Hindman,Freshman,P/INF,46,3,1,2,0,1,0,0,0,0,0,0,Northeast Mississippi,2
23,Allie,Windham,Sophomore,UTL,39,9,1,7,1,0.889,0,0,0,0,0,0,Northeast Mississippi,2
3,Brooklyn,Bascomb,Freshman,OF,33,1,0,1,0,1,0,0,0,0,0,0,Northeast Mississippi,2
15,Crista,Wilson,Freshman,UTL,35,248,234,11,3,0.988,0,24,5,0.172,8,0,Northwest Mississippi,2
3,Kaylee,Owens,Freshman,INF,39,140,134,2,4,0.971,1,0,0,0,0,0,Northwest Mississippi,2
10,Kara,Johnson,Freshman,INF,41,83,55,20,8,0.904,0,2,0,0,0,0,Northwest Mississippi,2
9,Madeline,Houk,Freshman,OF,41,54,46,2,6,0.889,1,2,0,0,0,0,Northwest Mississippi,2
24,McKaylee,Polk,Sophomore,INF,41,89,42,42,5,0.944,2,0,0,0,0,0,Northwest Mississippi,2
18,Allyson,Harrison,Freshman,P/INF,40,72,39,29,4,0.944,1,7,2,0.222,0,0,Northwest Mississippi,2
30,Maggie,Ross,Freshman,UTL,7,38,34,3,1,0.974,0,2,2,0.5,0,0,Northwest Mississippi,2
5,Reese,Vanlandingham,Freshman,OF,41,31,30,1,0,1,0,1,0,0,0,0,Northwest Mississippi,2
4,Anna,Nickens,Sophomore,P/OF,31,20,17,0,3,0.85,0,1,0,0,0,0,Northwest Mississippi,2
7,Chloe,Summerford,Freshman,,25,23,17,3,3,0.87,0,0,0,0,0,0,Northwest Mississippi,2
20,Kylie,Gurley,Sophomore,INF,20,21,11,7,3,0.857,0,0,0,0,0,0,Northwest Mississippi,2
1,Hayley,Laurendeau,Freshman,UTL,16,9,9,0,0,1,0,0,0,0,0,0,Northwest Mississippi,2
22,Gabby,Dickerson,Sophomore,P,22,14,5,8,1,0.929,0,13,3,0.188,0,0,Northwest Mississippi,2
6,Bailey,Russell,Sophomore,INF,17,4,4,0,0,1,0,0,0,0,0,0,Northwest Mississippi,2
12,Kylee,Brown,Sophomore,P,16,19,2,16,1,0.947,0,8,2,0.2,0,0,Northwest Mississippi,2
14,Neely,Cooper,Freshman,P,36,5,2,3,0,1,0,2,0,0,0,0,Northwest Mississippi,2
21,Randi,Johnson,Sophomore,P/INF,20,2,2,0,0,1,0,0,0,0,0,0,Northwest Mississippi,2
11,Jillian,Malone,Freshman,,7,1,1,0,0,1,0,0,0,0,0,0,Northwest Mississippi,2
16,Shelby,Payne,Freshman,P/UTL,23,1,1,0,0,1,0,0,0,0,0,0,Northwest Mississippi,2
20,Marisa,West,Freshman,C,39,278,263,15,0,1,0,11,6,0.353,13,0,Pearl River,2
11,Dallyn,Nance,Sophomore,C/OF,54,248,230,6,12,0.952,2,23,1,0.042,10,0,Pearl River,2
7,Julianah,Overstreet,Sophomore,INF,54,252,219,23,10,0.96,1,0,0,0,0,0,Pearl River,2
12,CharLee,Meadows,Freshman,INF,56,139,96,36,7,0.95,1,0,0,0,0,0,Pearl River,2
28,Destiney,Gary,Sophomore,OF,52,72,69,1,2,0.972,0,0,0,0,0,0,Pearl River,2
3,Morgan,Lavergne,Freshman,INF,56,150,60,82,8,0.947,2,0,0,0,0,0,Pearl River,2
22,Cassidy,Cartwright,Sophomore,OF,56,61,57,2,2,0.967,0,0,0,0,0,0,Pearl River,2
24,Natalie,Toups,Freshman,OF/INF,40,68,29,35,4,0.941,0,0,0,0,0,0,Pearl River,2
15,Ashlyn,Dean,Freshman,INF/C,30,48,19,26,3,0.938,0,0,0,0,0,0,Pearl River,2
9,Klair,Cuevas,Freshman,OF,38,16,13,0,3,0.813,0,1,0,0,1,0,Pearl River,2
4,Bryn,Daughtery,Freshman,RHP/INF,53,11,11,0,0,1,1,0,0,0,0,0,Pearl River,2
1,Ryleigh,Wallace,Freshman,INF/C,19,10,10,0,0,1,1,0,0,0,0,0,Pearl River,2
13,Jena,Pacheco,Sophomore,INF,23,24,8,12,4,0.833,0,0,0,0,0,0,Pearl River,2
2,Natalie,Herrington,Freshman,RHP,28,29,7,17,5,0.828,2,1,1,0.5,0,0,Pearl River,2
33,Brinson Anne,Rogers,Sophomore,P,28,12,4,8,0,1,0,4,0,0,0,0,Pearl River,2
26,Bella,Crawley,Freshman,P,10,6,2,4,0,1,0,0,0,0,0,0,Pearl River,2
14,Mya,Young,Freshman,RHP,8,9,2,7,0,1,0,0,0,0,0,0,Pearl River,2
16,Kallie,Hunt,Sophomore,UTIL,19,1,1,0,0,1,0,0,0,0,0,0,Pearl River,2
6,Lizzie,Weems,Freshman,RHP,2,1,0,1,0,1,0,0,0,0,0,0,Pearl River,2
13,Anne Claire,Sistrunk,Freshman,UT,46,122,114,4,4,0.967,2,0,0,0,0,0,Southwest Mississippi,2
2,Addie,Bagwell,Freshman,C,38,111,96,6,9,0.919,0,14,1,0.067,2,0,Southwest Mississippi,2
28,Lilli,Robertson,Sophomore,2B,46,128,83,38,7,0.945,3,0,0,0,0,0,Southwest Mississippi,2
8,Sarah,Stockstill,Sophomore,SS,46,154,71,61,22,0.857,4,0,0,0,0,0,Southwest Mississippi,2
5,Madi,Smith,Sophomore,P/UT,33,81,63,14,4,0.951,3,4,1,0.2,0,0,Southwest Mississippi,2
10,Kayci Beth,Wallace,Sophomore,OF,46,68,63,3,2,0.971,1,0,0,0,0,0,Southwest Mississippi,2
30,Shaylee,Ingram,Freshman,OF,44,70,60,8,2,0.971,1,0,0,0,0,0,Southwest Mississippi,2
4,Morgan,Gras,Freshman,3B,44,115,52,41,22,0.809,3,0,0,0,0,0,Southwest Mississippi,2
22,Londyn,Robertson,Freshman,OF,32,35,32,2,1,0.971,0,0,0,0,0,0,Southwest Mississippi,2
0,Cheyenne,Tyson,Freshman,C,16,28,23,4,1,0.964,0,4,1,0.2,0,0,Southwest Mississippi,2
6,Rowan,Braley,Freshman,OF,39,25,19,2,4,0.84,1,0,0,0,0,0,Southwest Mississippi,2
18,Abby,Myers,Sophomore,C,12,22,17,3,2,0.909,0,0,0,0,0,0,Southwest Mississippi,2
12,Mia,Pumila,Sophomore,P,24,37,17,20,0,1,1,6,0,0,0,0,Southwest Mississippi,2
11,Anlyssa,Richardson,Freshman,MI,27,23,17,5,1,0.957,1,0,0,0,0,0,Southwest Mississippi,2
3,Kayleigh,Necaise,Freshman,MI/UT,33,26,16,3,7,0.731,0,0,0,0,0,0,Southwest Mississippi,2
1,Robin,Neblett,Freshman,OF,33,13,11,2,0,1,1,0,0,0,0,0,Southwest Mississippi,2
23,Emme,Wallace,Sophomore,P,28,24,11,13,0,1,1,5,1,0.167,0,0,Southwest Mississippi,2
9,Kacey,Stampley,Sophomore,1B,46,7,6,0,1,0.857,0,0,0,0,0,0,Southwest Mississippi,2
26,AnnElise,Elrod,Freshman,1B,8,3,3,0,0,1,2,0,0,0,0,0,Southwest Mississippi,2
27,Lana,Dalton,Freshman,P,14,5,2,2,1,0.8,0,2,0,0,0,0,Southwest Mississippi,2
20,Ali,Grenzebach,Freshman,C/3B/1B,48,309,290,8,11,0.964,1,2,0,0,5,0,Danville Area,2
7,Hayden,Smith,Sophomore,C/SS/2B/OF,65,222,197,16,9,0.959,6,2,0,0,0,0,Danville Area,2
12,Ashlynn,McTagertt,Sophomore,1B/OF,62,205,192,7,6,0.971,6,0,0,0,0,0,Danville Area,2
4,Raven,Morrison,Sophomore,P/3B/SS,61,137,85,35,17,0.876,1,1,0,0,0,0,Danville Area,2
10,Beth,Pavy,Sophomore,2B/SS/3B,61,118,78,32,8,0.932,2,0,0,0,0,0,Danville Area,2
24,Jewelia,Wolfe,Sophomore,2B/3B/1B,33,105,76,16,13,0.876,4,0,0,0,0,0,Danville Area,2
42,Ashlynn,McPeak,Sophomore,OF,64,78,70,0,8,0.897,0,0,0,0,0,0,Danville Area,2
11,Danielle,Shuey,Sophomore,OF,66,73,67,1,5,0.932,1,0,0,0,0,0,Danville Area,2
3,Kyleigh,Weller,Sophomore,P/OF/1B,62,100,67,31,2,0.98,2,1,0,0,0,0,Danville Area,2
6,Amaria,Wall,Freshman,2B/3B,39,86,53,20,13,0.849,6,0,0,0,0,0,Danville Area,2
9,Ella,Wolfe,Sophomore,OF,37,35,27,0,8,0.771,0,0,0,0,0,0,Danville Area,2
5,Rylee,Richey,Freshman,P/1B/OF,53,30,26,4,0,1,1,0,0,0,0,0,Danville Area,2
27,Kelsey,Martlage,Freshman,2B/3B/OF,29,25,18,7,0,1,2,0,0,0,0,0,Danville Area,2
1,Emma,Kellerman,Freshman,C/3B,17,21,17,2,2,0.905,0,0,0,0,0,0,Danville Area,2
13,Savanah,Mattingly,Sophomore,C,2,11,9,2,0,1,0,0,0,0,0,0,Danville Area,2
26,Kennedy,Hudson,Freshman,OF,12,5,5,0,0,1,0,0,0,0,0,0,Danville Area,2
28,Makenzee,Legg,Sophomore,P,24,7,4,3,0,1,0,2,0,0,0,0,Danville Area,2
0,Sadie,Christensen,Freshman,C/IN,31,135,127,6,2,0.985,0,54,4,0.069,13,0,Heartland,2
28,Lilly,Mucha,Sophomore,1B,36,124,123,0,1,0.992,1,0,0,0,0,0,Heartland,2
10,Grace,Wyman,Sophomore,OF,40,86,79,1,6,0.93,0,0,0,0,0,0,Heartland,2
1,Ellie,Downing,Freshman,INF,34,114,78,25,11,0.904,0,0,0,0,0,0,Heartland,2
2,Raeghan,Morefield,Freshman,INF/OF,40,133,78,37,18,0.865,1,0,0,0,0,0,Heartland,2
6,Mya,Robinson,Freshman,INF,36,63,42,8,13,0.794,0,0,0,0,0,0,Heartland,2
