no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
14,Summer,Simpson,Freshman,RHP/INF,22,10,0,4,6,0.4,0,2,0,0,0,0,Arizona Western,1
19,Sabrina,Garcia,Sophomore,NA,49,318,293,19,6,0.981,12,0,0,0,0,0,Central Arizona,1
28,Ashley,Fields,Sophomore,NA,55,200,189,7,4,0.98,2,11,3,0.214,0,0,Central Arizona,1
27,Marissa,Peraza,Freshman,NA,22,113,100,13,0,1,4,0,0,0,0,0,Central Arizona,1
1,Kyana,Vieux,Sophomore,NA,61,210,76,123,11,0.948,10,0,0,0,0,0,Central Arizona,1
11,Alivia,De la Cruz,Freshman,NA,50,66,60,2,4,0.939,1,0,0,0,0,0,Central Arizona,1
14,Megan,Reichley,Freshman,NA,25,64,60,2,2,0.969,1,5,1,0.167,1,0,Central Arizona,1
22,Asiah,Bell,Sophomore,NA,56,64,58,5,1,0.984,1,0,0,0,0,0,Central Arizona,1
13,Marina,Acedo,Sophomore,NA,45,54,54,0,0,1,0,0,0,0,0,0,Central Arizona,1
12,Hannah,Nordby,Freshman,NA,20,65,46,14,5,0.923,4,4,0,0,0,0,Central Arizona,1
9,Kyra,Vieux,Sophomore,NA,52,44,41,2,1,0.977,0,0,0,0,0,0,Central Arizona,1
21,Lauren,Newlin,Freshman,NA,40,100,33,59,8,0.92,6,0,0,0,0,0,Central Arizona,1
16,Gabby,Escontrias,Freshman,NA,46,61,25,30,6,0.902,2,0,0,0,0,0,Central Arizona,1
26,Lisette,Urquidez,Sophomore,NA,53,95,23,64,8,0.916,6,4,0,0,0,0,Central Arizona,1
5,Michelle,Salazar,Freshman,NA,38,73,17,54,2,0.973,4,0,0,0,0,0,Central Arizona,1
6,Kayla,Lopez,Sophomore,NA,32,16,15,0,1,0.938,0,0,0,0,0,0,Central Arizona,1
24,Jessica,Mercado,Sophomore,NA,37,26,5,19,2,0.923,2,1,1,0.5,0,0,Central Arizona,1
18,Dezeray,Levario,Sophomore,NA,23,29,1,27,1,0.966,0,0,0,0,0,0,Central Arizona,1
20,Kiana,Villa,Freshman,NA,5,1,0,1,0,1,0,0,0,0,0,0,Central Arizona,1
3,Katelyn,Westover,Freshman,NA,10,5,0,5,0,1,0,0,0,0,0,0,Central Arizona,1
24,Cassidy,Morrow,Sophomore,3B/1B,62,271,255,13,3,0.989,0,0,0,0,0,0,Eastern Arizona,1
6,Jaylene,Tomlinson,Freshman,3B,61,305,254,42,9,0.97,0,24,4,0.143,8,1,Eastern Arizona,1
3,Charlotte,Velasquez,Sophomore,C,44,244,234,9,1,0.996,0,39,1,0.025,6,0,Eastern Arizona,1
32,Emma,Roach,Sophomore,OF,61,75,69,2,4,0.947,0,0,0,0,0,0,Eastern Arizona,1
1,Mariah,Cunningham,Freshman,OF,60,81,68,3,10,0.877,0,0,0,0,0,0,Eastern Arizona,1
47,Savannah,Clausen,Sophomore,SS,58,124,54,62,8,0.935,0,0,0,0,0,0,Eastern Arizona,1
9,Alexandra,Genty,Freshman,OF,53,55,51,2,2,0.964,0,0,0,0,0,0,Eastern Arizona,1
13,Cheyenne,Cunningham,Sophomore,2B,38,95,50,39,6,0.937,0,0,0,0,0,0,Eastern Arizona,1
11,Nohealani,Akana,Sophomore,SS/U,41,54,35,13,6,0.889,0,0,0,0,0,0,Eastern Arizona,1
5,Braelynn,Kaulu Choyfoo,Freshman,U,39,68,33,32,3,0.956,0,0,0,0,0,0,Eastern Arizona,1
16,Madison,Chavez,Sophomore,3B,32,31,14,11,6,0.806,0,0,0,0,0,0,Eastern Arizona,1
18,Aubrey,Garbarek,Sophomore,2B,21,20,11,7,2,0.9,0,0,0,0,0,0,Eastern Arizona,1
21,Mieya,Andres,Sophomore,OF,24,10,9,1,0,1,0,0,0,0,0,0,Eastern Arizona,1
12,Analosa,Laolagi,Freshman,1B,32,8,5,2,1,0.875,0,0,0,0,0,0,Eastern Arizona,1
4,Jaileen,Mancha,Sophomore,P,40,273,5,267,1,0.996,0,3,0,0,0,0,Eastern Arizona,1
0,Bianca,Valverde,Freshman,OF,16,5,5,0,0,1,0,0,0,0,0,0,Eastern Arizona,1
27,Lauren,Salcido,Sophomore,P,25,47,3,43,1,0.979,0,4,0,0,0,0,Eastern Arizona,1
34,Ashtyn,Schuh,Freshman,OF,13,3,3,0,0,1,0,0,0,0,0,0,Eastern Arizona,1
7,Angelina,Santiago,Freshman,OF,9,1,1,0,0,1,0,0,0,0,0,0,Eastern Arizona,1
2,Christa,Zagala,Sophomore,P,32,180,1,178,1,0.994,0,1,0,0,0,0,Eastern Arizona,1
4,Camila,Zepeda,Freshman,INF,60,199,161,26,12,0.94,16,0,0,0,0,0,Pima,1
19,Mallory,Zylinski-Wrobel,Freshman,C/INF,56,153,142,9,2,0.987,1,45,19,0.297,8,0,Pima,1
5,Mina,Chacon,Freshman,INF,59,210,136,52,22,0.895,17,0,0,0,0,0,Pima,1
