no,first_name,last_name,yr,pos,g,ab,r,h,x2b,x3b,hr,rbi,bb,k,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,hdp,go,fo,go_fo,pa,team_name,division
23,Sierra,Woods,Freshman,OF,43,113,22,37,5,0,4,27,5,8,11,3,0.327,0.358,0.478,1,1,1,54,9,0,0,1,0,121,Northern Oklahoma Enid,1
30,Taryn,Rhodes,Freshman,,43,108,26,29,4,0,6,20,19,24,6,1,0.269,0.392,0.472,3,0,1,51,10,0,0,0,0,131,Northern Oklahoma Enid,1
4,Anna,Hester,Sophomore,,48,100,20,24,6,1,2,16,16,26,3,1,0.24,0.364,0.38,4,1,3,38,9,0,0,0,0,124,Northern Oklahoma Enid,1
5,Sidney,Redmon,Freshman,,28,42,12,8,0,0,0,7,2,5,10,2,0.19,0.227,0.19,0,0,1,8,0,0,0,0,0,45,Northern Oklahoma Enid,1
6,Tylie,Ligons,Freshman,,41,126,36,39,1,1,3,18,10,13,23,2,0.31,0.37,0.405,2,0,1,51,5,0,0,0,0,139,Northern Oklahoma Enid,1
7,Adrian,Walker,Freshman,OF,26,48,11,10,0,0,0,1,7,16,8,2,0.208,0.309,0.208,0,0,1,10,0,0,0,0,0,56,Northern Oklahoma Enid,1
9,Jaycee,Foor,Freshman,C,39,96,21,34,6,1,3,31,14,11,3,0,0.354,0.436,0.531,0,0,0,51,10,1,0,0,0,110,Northern Oklahoma Enid,1
12,Allison,McGowan,Freshman,2B/3B,45,99,24,35,4,0,2,14,14,15,0,0,0.354,0.453,0.455,4,0,5,45,6,1,1,1,1,122,Northern Oklahoma Tonkawa,1
13,Hannah,Endicott,Freshman,OF,52,178,36,51,10,1,0,25,13,19,4,1,0.287,0.342,0.354,2,0,3,63,11,0,3,0,0,196,Northern Oklahoma Tonkawa,1
14,Jaci,Johnson,Freshman,OF/C,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northern Oklahoma Tonkawa,1
15,Savannah,Chenoweth,Sophomore,3B,52,158,38,46,11,0,9,40,15,19,1,0,0.291,0.362,0.532,3,1,1,84,20,1,0,3,0,178,Northern Oklahoma Tonkawa,1
18,Cadeynce,Lewis,Sophomore,INF,15,34,3,6,1,0,0,3,4,10,1,0,0.176,0.263,0.206,0,0,1,7,1,1,0,0,0,39,Northern Oklahoma Tonkawa,1
20,Teagan,Honer,Sophomore,1B,21,48,7,13,2,0,1,11,5,7,1,1,0.271,0.34,0.375,0,0,1,18,3,0,0,0,0,54,Northern Oklahoma Tonkawa,1
21,Morgan,Meyer,Freshman,C/3B,51,157,32,46,14,0,3,30,6,17,2,0,0.293,0.341,0.439,6,1,2,69,17,0,1,1,1,172,Northern Oklahoma Tonkawa,1
23,Madalyn,McNac,Sophomore,1B/3B,14,19,1,6,0,0,0,5,1,3,0,0,0.316,0.35,0.316,0,0,1,6,0,0,0,0,0,21,Northern Oklahoma Tonkawa,1
3,Haiden,Huster,Sophomore,1B,50,144,22,42,6,1,1,18,16,17,0,0,0.292,0.362,0.368,1,2,2,53,8,2,4,0,0,165,Northern Oklahoma Tonkawa,1
5,Ryllie,Shipp,Freshman,OF,51,152,45,41,6,3,0,17,18,28,28,3,0.27,0.355,0.349,2,0,13,53,9,0,0,1,0,185,Northern Oklahoma Tonkawa,1
6,Kyla,Storts,Sophomore,SS/C,52,178,38,59,22,3,6,46,3,15,9,1,0.331,0.349,0.59,3,2,1,105,31,0,2,0,0,187,Northern Oklahoma Tonkawa,1
8,Jayden,Looper,Sophomore,OF,40,103,20,33,6,0,2,21,10,10,0,0,0.32,0.391,0.437,2,0,3,45,8,2,1,0,0,118,Northern Oklahoma Tonkawa,1
9,Alexandra,Griffin,Sophomore,OF,49,134,21,38,8,4,0,22,7,28,2,2,0.284,0.324,0.403,1,0,3,54,12,0,3,0,0,145,Northern Oklahoma Tonkawa,1
1,Madison,Barnes,Freshman,NA,38,73,16,24,2,1,0,9,14,26,2,0,0.329,0.449,0.384,2,0,3,28,3,0,0,0,0,92,Rose State,1
11,Kortney,Griffith,Freshman,NA,33,44,16,9,2,0,0,8,4,6,6,0,0.205,0.271,0.25,0,0,5,11,2,0,0,0,0,53,Rose State,1
12,Bailey,Henderson,Sophomore,NA,55,147,34,46,13,0,3,23,17,21,7,1,0.313,0.393,0.463,3,1,16,68,16,0,0,0,0,184,Rose State,1
14,Avery,Baker,Sophomore,NA,29,4,18,1,0,0,0,0,1,1,1,0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,0,5,Rose State,1
15,Morgan,Thomas,Freshman,NA,23,9,1,1,1,0,0,1,0,1,0,0,0.111,0.111,0.222,0,0,1,2,1,0,0,0,0,10,Rose State,1
16,Madison,Riley,Sophomore,NA,54,159,39,58,5,1,1,27,11,16,24,1,0.365,0.406,0.428,0,0,14,68,7,0,0,0,0,184,Rose State,1
19,Caton,Muncy,Sophomore,NA,54,155,24,60,10,0,9,49,33,12,3,0,0.387,0.497,0.626,2,1,1,97,19,0,0,0,0,192,Rose State,1
2,Abby,Turnpaugh,Freshman,NA,12,3,1,1,1,0,0,0,0,1,0,0,0.333,0.333,0.667,0,0,0,2,1,0,0,0,0,3,Rose State,1
23,Shaelyn,Shoquist,Sophomore,NA,32,34,8,6,2,0,0,4,5,13,2,0,0.176,0.282,0.235,0,0,2,8,2,0,0,0,0,41,Rose State,1
24,Belen,Sanchez,Sophomore,NA,55,152,35,47,6,1,6,32,23,14,17,1,0.309,0.407,0.48,2,0,5,73,13,0,0,0,0,182,Rose State,1
25,Jordan,Antony-Baade,Freshman,NA,14,15,6,3,0,1,0,2,0,2,3,0,0.2,0.2,0.333,0,0,0,5,1,0,0,0,0,15,Rose State,1
28,Peyton,Norvelle,Sophomore,NA,54,127,32,44,9,1,7,32,8,13,5,0,0.346,0.394,0.598,2,0,12,76,17,0,0,0,0,149,Rose State,1
3,Harley,Sturm,Sophomore,NA,54,147,25,50,11,1,10,55,9,18,0,0,0.34,0.368,0.633,1,6,4,93,22,0,0,0,0,167,Rose State,1
30,Allison,Lee,Freshman,NA,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Rose State,1
31,Emma,Pickering,Freshman,NA,4,3,0,1,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0,0,0,1,0,0,0,0,0,4,Rose State,1
4,Lilli,Daniels,Freshman,NA,31,56,3,20,2,0,3,12,0,11,0,0,0.357,0.357,0.554,0,0,1,31,5,0,0,0,0,57,Rose State,1
41,Carly,Torbett,Sophomore,NA,37,47,6,8,3,0,1,4,7,9,0,0,0.17,0.278,0.298,0,0,2,14,4,0,0,0,0,56,Rose State,1
5,Emma,Green,Sophomore,NA,54,185,52,84,5,6,0,16,13,9,31,3,0.454,0.505,0.546,6,0,5,101,11,0,0,0,0,209,Rose State,1
7,Emma,Strange,Sophomore,NA,32,24,2,6,0,1,0,2,0,2,0,1,0.25,0.25,0.333,0,0,1,8,1,0,0,0,0,25,Rose State,1
9,Emily,Smith,Sophomore,NA,55,138,13,43,8,2,0,28,13,20,1,0,0.312,0.378,0.399,3,2,6,55,10,0,0,0,0,162,Rose State,1
0,Avery,Lowe,Sophomore,UTL,12,12,4,4,0,0,1,3,3,3,1,0,0.333,0.438,0.583,0,1,1,7,1,0,0,0,0,17,Seminole State (OK),1
1,Britney,Lewinski,Sophomore,P,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Seminole State (OK),1
10,Chloe,James,Sophomore,OF,42,81,31,30,6,1,4,14,10,21,15,3,0.37,0.452,0.617,2,0,0,50,11,0,0,5,0,93,Seminole State (OK),1
12,Brasen,Hackler,Sophomore,INF,19,24,6,8,2,0,0,4,3,9,1,0,0.333,0.414,0.417,1,1,0,10,2,0,0,1,0,29,Seminole State (OK),1
13,Riley,Barnoskie,Freshman,INF,34,71,22,22,6,0,1,14,5,7,6,1,0.31,0.346,0.437,0,2,0,31,7,0,2,2,1,78,Seminole State (OK),1
14,Jaylee,Lopez,Freshman,INF,51,109,36,35,7,0,3,17,13,21,10,1,0.321,0.405,0.468,3,1,1,51,10,0,2,2,1,127,Seminole State (OK),1
15,Kyleigh,Lamont,Freshman,OF,45,101,25,36,12,2,4,32,18,17,6,1,0.356,0.443,0.634,0,3,0,64,18,0,1,5,0.2,122,Seminole State (OK),1
18,Kirby,Van Haren,Freshman,UTL,28,43,12,15,2,0,1,12,8,7,0,0,0.349,0.451,0.465,0,0,0,20,3,0,1,2,0.5,51,Seminole State (OK),1
2,Mckenna,Johnson,Sophomore,INF,50,151,47,68,16,0,9,58,27,4,9,1,0.45,0.525,0.735,0,3,1,111,25,0,3,5,0.6,182,Seminole State (OK),1
20,Madilyn,Drummond,Freshman,IF,30,61,17,23,5,2,1,17,5,8,3,2,0.377,0.441,0.574,2,0,0,35,8,2,3,2,1.5,68,Seminole State (OK),1
23,Ashlyn,Turner,Freshman,C,39,87,21,26,6,0,3,24,12,21,10,1,0.299,0.398,0.471,3,1,3,41,9,0,2,3,0.67,106,Seminole State (OK),1
24,Tess,Eubank,Sophomore,P,22,4,0,1,0,0,0,2,0,1,0,0,0.25,0.25,0.25,0,0,0,1,0,0,0,0,0,4,Seminole State (OK),1
25,Demi,Manning,Freshman,INF,8,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Seminole State (OK),1
35,Bethaney,Noble,Freshman,P,20,7,0,2,0,0,0,0,1,3,0,0,0.286,0.375,0.286,0,0,0,2,0,0,0,0,0,8,Seminole State (OK),1
4,Danyn,Lang,Sophomore,UTL,48,137,46,53,10,2,6,30,20,12,26,1,0.387,0.465,0.62,1,1,3,85,18,0,4,5,0.8,162,Seminole State (OK),1
5,Rachel,Sherwood,Sophomore,INF,40,108,25,37,7,0,8,21,15,14,8,1,0.343,0.427,0.63,1,0,0,68,15,0,3,3,1,124,Seminole State (OK),1
6,Josalyn,Faulkner,Freshman,C,19,35,7,7,3,0,1,8,4,8,1,0,0.2,0.3,0.371,1,0,0,13,4,0,0,0,0,40,Seminole State (OK),1
7,Payton,Owens,Freshman,INF,45,110,29,39,6,0,7,26,11,9,10,0,0.355,0.411,0.6,1,2,7,66,13,0,6,6,1,131,Seminole State (OK),1
8,Emily,Bingham,Freshman,C,28,50,12,13,4,0,4,11,4,8,2,0,0.26,0.315,0.58,0,0,1,29,8,0,0,2,0,55,Seminole State (OK),1
9,Kaylee,Edwards,Sophomore,INF,27,70,13,26,2,0,2,13,10,6,0,0,0.371,0.446,0.486,1,2,2,34,4,0,0,0,0,85,Seminole State (OK),1
99,Elizabeth,Taber,Freshman,UTL,22,34,4,11,1,0,1,12,1,5,1,0,0.324,0.324,0.441,0,2,2,15,2,0,0,2,0,39,Seminole State (OK),1
13,Addyson,Awbrey,Sophomore,NA,20,59,5,17,2,0,1,14,3,5,0,0,0.288,0.323,0.373,0,0,0,22,3,0,0,0,0,62,Western Oklahoma State,1
15,Amanda,Johnson,Freshman,NA,18,30,2,3,0,0,0,0,2,9,1,0,0.1,0.182,0.1,1,0,0,3,0,0,0,0,0,33,Western Oklahoma State,1
16,Teagan,Hays,Sophomore,NA,16,23,1,4,0,0,0,0,3,6,0,0,0.174,0.296,0.174,1,0,0,4,0,0,0,0,0,27,Western Oklahoma State,1
17,Jordan,Noack,Freshman,NA,25,59,3,15,3,0,0,4,6,9,0,0,0.254,0.371,0.305,5,0,0,18,3,0,0,0,0,70,Western Oklahoma State,1
2,Abigail,Simmons,Freshman,NA,22,43,1,9,1,0,0,2,3,12,2,0,0.209,0.277,0.233,1,0,0,10,1,0,0,0,0,47,Western Oklahoma State,1
22,Ashley,Darilek,,NA,36,111,23,35,9,3,4,14,9,12,7,2,0.315,0.392,0.559,5,0,0,62,16,0,0,0,0,125,Western Oklahoma State,1
24,Andee,Renfro,Freshman,NA,20,61,9,18,7,0,0,11,1,2,2,0,0.295,0.306,0.41,0,0,0,25,7,0,0,0,0,62,Western Oklahoma State,1
26,Madalyn,Owen,Freshman,NA,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,2,Western Oklahoma State,1
3,Ryleigh,Pennington,Freshman,NA,33,82,9,15,4,0,1,7,6,19,6,0,0.183,0.256,0.268,2,0,0,22,5,0,0,0,0,90,Western Oklahoma State,1
33,Jaci,Jones,Freshman,NA,3,2,0,0,0,0,0,0,3,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,5,Western Oklahoma State,1
4,Taloni,Norris,Freshman,NA,35,97,22,29,7,0,3,14,9,18,8,0,0.299,0.37,0.464,2,0,0,45,10,0,0,0,0,108,Western Oklahoma State,1
5,Kaylee,Bradley,Sophomore,NA,36,100,13,36,5,0,3,15,12,27,1,0,0.36,0.448,0.5,4,0,0,50,8,0,0,0,0,116,Western Oklahoma State,1
7,Allie,Stidham,Freshman,NA,14,21,0,1,0,0,0,0,2,4,0,0,0.048,0.167,0.048,1,0,1,1,0,0,0,0,0,25,Western Oklahoma State,1
8,Stevi,Huff,Freshman,NA,26,77,14,17,5,0,2,8,8,9,3,0,0.221,0.302,0.364,1,0,0,28,7,0,0,0,0,86,Western Oklahoma State,1
9,Jade,Castillo,Freshman,NA,36,92,11,24,8,0,2,10,7,17,7,3,0.261,0.34,0.413,4,0,0,38,10,0,0,0,0,103,Western Oklahoma State,1
1,Natalee,Schmidt,Freshman,,48,139,35,41,3,3,0,17,5,10,20,2,0.295,0.329,0.36,2,0,3,50,6,0,0,0,0,149,Cisco,1
10,Sierra,Bittner,Freshman,,10,13,3,3,0,0,0,0,0,2,1,0,0.231,0.231,0.231,0,0,0,3,0,0,0,0,0,13,Cisco,1
11,Alyssa,Brister,Freshman,,49,113,37,37,9,0,0,25,11,26,11,1,0.327,0.454,0.407,16,1,3,46,9,0,0,0,0,144,Cisco,1
12,Kassidy,Bradshaw,Freshman,,30,61,19,22,4,0,2,15,5,11,1,0,0.361,0.412,0.525,1,1,2,32,6,0,0,0,0,70,Cisco,1
13,Madalyne,Martinez,Sophomore,P/1B,19,2,1,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,0,0,1,1,0,0,0,0,0,3,Cisco,1
14,Jayden,Falcon,Sophomore,1B/UT,24,27,14,10,3,0,1,3,7,8,0,0,0.37,0.5,0.593,0,0,0,16,4,0,0,0,0,34,Cisco,1
15,Lillian,Watson,Freshman,1B,8,9,1,3,3,0,0,4,0,0,0,1,0.333,0.333,0.667,0,0,0,6,3,0,0,0,0,9,Cisco,1
16,Kayla,Camacho,Sophomore,,46,110,22,39,9,1,5,29,7,22,8,0,0.355,0.392,0.591,1,2,1,65,15,0,0,0,0,121,Cisco,1
18,Amelia,Wimmer,Freshman,C,46,124,27,49,16,1,4,37,12,16,5,0,0.395,0.444,0.637,2,4,0,79,21,0,0,0,0,142,Cisco,1
19,Taylor,Springs,Sophomore,,19,52,7,21,1,0,0,8,3,5,0,0,0.404,0.429,0.423,0,1,0,22,1,0,0,0,0,56,Cisco,1
2,Ajah,Charlie,Freshman,,37,29,21,9,0,0,0,0,2,11,13,1,0.31,0.355,0.31,0,0,0,9,0,0,0,0,0,31,Cisco,1
20,Addy,Rich,Sophomore,P/1B,36,49,6,20,5,0,1,17,4,8,0,0,0.408,0.444,0.571,0,1,0,28,6,0,0,0,0,54,Cisco,1
22,Harley,Staton,Freshman,,34,48,6,18,2,0,0,8,6,4,2,1,0.375,0.464,0.417,2,0,1,20,2,0,0,0,0,57,Cisco,1
24,Mackenzie,McClellan,Sophomore,1B/P,24,36,6,11,0,0,2,10,6,7,1,0,0.306,0.422,0.472,2,1,0,17,2,0,0,0,0,45,Cisco,1
25,Kamryn,Gomez,Sophomore,C/3B,51,139,25,56,11,1,5,40,12,4,0,0,0.403,0.462,0.604,5,2,0,84,17,0,0,0,0,158,Cisco,1
26,Emily,Wehnert,Sophomore,3B/OF,35,66,5,19,4,1,1,20,4,18,1,0,0.288,0.356,0.424,3,0,1,28,6,0,0,0,0,74,Cisco,1
27,Bethany,Sherwood,Sophomore,1B/3B,38,95,17,24,7,0,2,15,6,11,2,0,0.253,0.294,0.389,0,1,1,37,9,0,0,0,0,103,Cisco,1
28,Mikaela,Salinas,Freshman,,29,70,4,23,4,0,2,17,6,10,0,0,0.329,0.39,0.471,1,0,0,33,6,0,0,0,0,77,Cisco,1
3,Lorena,Rodriguez,Sophomore,2B/OF,41,91,23,20,6,3,0,8,5,23,8,0,0.22,0.26,0.352,0,0,2,32,9,0,0,0,0,98,Cisco,1
4,"Akaysia ""KK""",Grogan,Freshman,,19,5,6,2,1,0,0,2,4,0,0,0,0.4,0.667,0.6,0,0,0,3,1,0,0,0,0,9,Cisco,1
6,Kalee,Aguilar-Luna,Freshman,,44,114,22,37,13,0,4,29,13,31,3,2,0.325,0.403,0.544,2,0,4,62,17,0,0,0,0,133,Cisco,1
7,Leila,Musquiz,Sophomore,3B/OF,47,85,28,26,2,0,0,4,2,4,11,1,0.306,0.33,0.329,1,0,4,28,2,0,0,0,0,92,Cisco,1
8,Ella,McLean,Freshman,,29,35,17,7,2,1,0,2,4,7,1,0,0.2,0.275,0.314,0,1,0,11,3,0,0,0,0,40,Cisco,1
9,Kayra,Sauceda,Sophomore,2B/SS,30,45,15,14,2,0,0,9,3,8,3,2,0.311,0.373,0.356,2,1,1,16,2,0,0,0,0,52,Cisco,1
1,Amyiah,Alaniz,Sophomore,RHP/SS,2,7,2,2,2,0,0,2,0,0,0,0,0.286,0.286,0.571,0,0,0,4,2,0,0,0,0,7,Clarendon,1
10,Astrid,Meza,Freshman,OF,28,61,5,6,1,0,1,2,4,28,0,0,0.098,0.247,0.164,8,0,0,10,2,0,0,0,0,73,Clarendon,1
12,Paola,Zamacona,Sophomore,RHP/OF,26,62,13,16,7,4,2,8,7,12,0,0,0.258,0.333,0.597,0,0,0,37,13,0,0,0,0,69,Clarendon,1
13,Bryanna,Thacker,Sophomore,OF,30,70,19,15,5,4,1,8,9,15,0,0,0.214,0.304,0.443,0,0,1,31,10,0,0,0,0,80,Clarendon,1
15,Zaeli,Jimenez,Freshman,RHP,28,56,3,10,3,0,1,8,5,19,0,0,0.179,0.246,0.286,0,0,0,16,4,0,0,0,0,61,Clarendon,1
18,Connor,Payton,Sophomore,UTL,28,74,17,20,3,2,0,6,7,8,0,0,0.27,0.341,0.365,1,0,0,27,5,0,0,0,0,82,Clarendon,1
2,Camryn,Slocum,Sophomore,INF,21,62,12,16,4,1,0,1,2,5,0,0,0.258,0.281,0.355,0,0,0,22,5,0,0,0,0,64,Clarendon,1
21,Madison,Smith,Freshman,UTL,22,50,3,9,3,1,0,8,1,18,0,0,0.18,0.196,0.28,0,0,0,14,4,0,0,0,0,51,Clarendon,1
22,Alexis,Roberson,Sophomore,RHP/OF,30,62,8,9,3,0,0,2,5,22,0,0,0.145,0.221,0.194,1,0,0,12,3,0,0,0,0,68,Clarendon,1
23,Anyssa,Chapa,Sophomore,3B,30,66,15,15,7,3,1,13,10,12,0,0,0.227,0.338,0.47,1,0,0,31,11,0,0,0,0,77,Clarendon,1
25,Savannah,Cantu,Freshman,UTL,2,5,0,1,1,0,0,2,0,1,0,0,0.2,0.2,0.4,0,0,0,2,1,0,0,0,0,5,Clarendon,1
27,Kenya,Ibarra,Sophomore,c/3B,6,17,3,8,1,0,1,5,1,1,0,0,0.471,0.5,0.706,0,0,0,12,2,0,0,0,0,18,Clarendon,1
28,Nyalok,Akec,Freshman,1B,12,21,0,1,0,0,0,0,1,12,0,0,0.048,0.167,0.048,2,0,0,1,0,0,0,0,0,24,Clarendon,1
4,Jazmine,Jackson,Sophomore,UTL,24,27,0,3,0,0,0,1,0,13,0,0,0.111,0.111,0.111,0,0,0,3,0,0,0,0,0,27,Clarendon,1
10,Jaqueline,Hernandez,Freshman,C/OF,38,136,34,43,5,2,0,15,10,24,10,3,0.316,0.363,0.382,0,0,1,52,7,0,0,0,0,147,El Paso,1
11,Maria,Garcia,Sophomore,INF,38,112,27,42,12,0,1,15,7,12,3,0,0.375,0.412,0.509,0,0,2,57,13,0,0,0,0,121,El Paso,1
12,Sadie,Gordillo,Sophomore,OF/P,36,116,23,46,9,2,3,26,8,16,4,1,0.397,0.44,0.586,1,0,0,68,14,0,0,0,0,125,El Paso,1
14,Marissa,Reza,Freshman,OF/P,29,53,17,22,2,3,0,18,3,8,7,0,0.415,0.431,0.566,0,2,1,30,5,0,0,0,0,59,El Paso,1
17,Alexis,Marquez,Sophomore,INF,38,119,19,39,14,0,0,26,10,16,1,0,0.328,0.413,0.445,8,1,3,53,14,0,0,0,0,141,El Paso,1
19,Giselle,Caldera,Freshman,INF,26,76,21,32,5,1,3,16,8,6,6,0,0.421,0.477,0.632,1,1,0,48,9,0,0,0,0,86,El Paso,1
2,Samantha,Ojeda,Sophomore,OF/P,36,92,22,23,3,1,0,16,4,21,7,0,0.25,0.286,0.304,1,1,0,28,4,0,0,0,0,98,El Paso,1
22,Hizeel,Rivera,Freshman,INF,26,72,19,25,8,1,2,13,7,18,4,1,0.347,0.42,0.569,2,0,1,41,11,0,0,0,0,82,El Paso,1
24,Charlene,Torres,Sophomore,C/INF,22,63,13,19,2,1,2,10,3,3,4,0,0.302,0.343,0.46,1,0,1,29,5,0,0,0,0,68,El Paso,1
3,Jasmine,Olivas,Freshman,OF/P,37,113,32,46,12,2,5,38,11,14,9,0,0.407,0.46,0.681,1,1,1,77,19,0,0,0,0,127,El Paso,1
4,Isabella,McCauley,Freshman,OF/P,27,75,8,27,3,0,0,12,1,2,2,0,0.36,0.364,0.4,0,1,0,30,3,0,0,0,0,77,El Paso,1
5,Samantha,Valencia,Freshman,OF,8,19,4,7,1,0,0,2,0,3,0,1,0.368,0.368,0.421,0,0,0,8,1,0,0,0,0,19,El Paso,1
8,Myah,Thompson,Freshman,OF,8,19,5,9,2,0,1,2,1,3,2,0,0.474,0.524,0.737,1,0,0,14,3,0,0,0,0,21,El Paso,1
10,Yessenia,Pena,Sophomore,,42,134,37,52,14,2,5,29,10,10,6,1,0.388,0.429,0.634,1,2,0,85,21,0,0,0,0,147,Frank Phillips,1
12,Hailey,Montemayor,Freshman,,40,117,32,50,17,0,3,26,18,18,1,0,0.427,0.504,0.65,1,1,0,76,20,0,0,0,0,137,Frank Phillips,1
14,Arianna,Zubia,Sophomore,,42,142,32,53,16,1,2,25,12,9,2,1,0.373,0.423,0.542,1,1,0,77,19,0,0,0,0,156,Frank Phillips,1
15,Kailey,Gull,Freshman,,39,99,19,21,4,2,1,16,6,20,3,1,0.212,0.271,0.323,2,0,0,32,7,0,0,0,0,107,Frank Phillips,1
19,Brenna,Straughan,Freshman,,6,11,1,1,0,0,0,0,1,1,0,0,0.091,0.167,0.091,0,0,0,1,0,0,0,0,0,12,Frank Phillips,1
2,Jadyn,Kobrin,Freshman,OF,25,58,11,15,4,0,1,8,11,19,1,1,0.259,0.377,0.379,0,0,0,22,5,0,0,0,0,69,Frank Phillips,1
21,Amber,Poorbaugh,Sophomore,,39,124,23,32,7,1,0,21,10,7,4,0,0.258,0.319,0.331,1,0,0,41,8,0,0,0,0,135,Frank Phillips,1
35,Andrea,Romero,Freshman,OF,1,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3,Frank Phillips,1
4,Alyssa,Barragan,Freshman,OF,12,23,4,1,0,0,0,0,5,12,0,0,0.043,0.214,0.043,0,0,0,1,0,0,0,0,0,28,Frank Phillips,1
5,Christian,Moyers,Sophomore,OF,41,118,25,34,8,0,0,18,7,17,6,1,0.288,0.341,0.356,3,1,0,42,8,0,0,0,0,129,Frank Phillips,1
6,Raylene,Zazueta,Sophomore,C,39,108,30,44,15,0,6,38,15,13,7,1,0.407,0.488,0.713,2,0,1,77,21,0,0,0,0,126,Frank Phillips,1
7,Kailee,Sanchez,Freshman,IF,42,100,19,30,4,1,0,21,15,19,5,1,0.3,0.395,0.36,2,2,2,36,5,0,0,0,0,121,Frank Phillips,1
9,Hope,Soria,Freshman,OF,17,52,14,24,3,1,0,8,0,2,0,0,0.462,0.462,0.558,0,0,1,29,4,0,0,0,0,53,Frank Phillips,1
1,Avarie,Kehn,Freshman,,16,5,8,1,0,0,0,0,0,2,4,0,0.2,0.2,0.2,0,0,0,1,0,0,0,0,0,5,Grayson,1
10,Kenna,Collett,Sophomore,,57,192,57,71,17,1,25,85,26,18,0,1,0.37,0.442,0.859,3,5,0,165,43,0,3,3,1,226,Grayson,1
11,Azia,Lokeni,Sophomore,,24,47,12,20,4,0,3,15,4,9,2,1,0.426,0.471,0.702,0,0,0,33,7,0,1,0,0,51,Grayson,1
12,Caitlin,Casas,Freshman,,48,127,29,44,5,0,4,28,10,13,1,0,0.346,0.397,0.48,2,2,0,61,9,0,4,9,0.44,141,Grayson,1
13,Kennedy,Fisher,Sophomore,,34,86,28,26,4,0,0,10,7,11,10,0,0.302,0.358,0.349,1,1,1,30,4,0,2,1,2,96,Grayson,1
15,Samantha,Hartman,Freshman,,8,6,2,1,1,0,0,0,3,1,0,0,0.167,0.444,0.333,0,0,0,2,1,0,0,0,0,9,Grayson,1
18,Amira,Smith,Sophomore,,5,4,2,1,0,0,0,0,1,3,0,0,0.25,0.5,0.25,1,0,0,1,0,0,0,0,0,6,Grayson,1
19,Kye,Stone,Sophomore,,58,168,48,53,8,0,3,40,25,31,9,1,0.315,0.429,0.417,10,2,0,70,11,0,4,4,1,205,Grayson,1
2,Ayzia,Shirey,Sophomore,OF,57,156,50,65,10,2,5,41,17,12,8,2,0.417,0.489,0.603,8,3,0,94,17,1,6,4,1.5,184,Grayson,1
29,Amiah,Galcatcher,Sophomore,OF,57,179,41,78,9,0,25,77,27,27,4,0,0.436,0.507,0.905,3,4,0,162,34,1,5,3,1.67,213,Grayson,1
3,Carsyn,Cox,Sophomore,,58,175,65,84,3,2,0,46,39,10,38,4,0.48,0.574,0.52,1,1,0,91,5,0,7,0,0,216,Grayson,1
4,Isabella,Didonato,Freshman,,24,6,8,4,0,0,1,5,5,2,5,1,0.667,0.818,1.167,0,0,0,7,1,0,0,0,0,11,Grayson,1
5,Chloe,Crawley,Freshman,,11,14,2,3,2,0,0,1,3,6,0,0,0.214,0.353,0.357,0,0,0,5,2,0,0,0,0,17,Grayson,1
6,Dacia,Sexton,Freshman,,8,11,2,2,1,0,0,1,1,5,0,0,0.182,0.25,0.273,0,0,0,3,1,0,0,0,0,12,Grayson,1
7,Addie,Lewis,Sophomore,,51,113,24,35,8,1,7,29,20,9,5,0,0.31,0.43,0.584,6,3,0,66,16,0,0,4,0,142,Grayson,1
8,Daeya,Moses,Freshman,,57,188,73,63,19,1,17,78,30,36,9,3,0.335,0.429,0.718,4,4,0,135,37,0,4,7,0.57,226,Grayson,1
9,Ellie,Vance,Sophomore,,58,169,69,76,8,5,1,37,19,5,35,1,0.45,0.508,0.574,3,2,0,97,14,1,4,0,0,193,Grayson,1
1,Kelsey,Creech,Sophomore,OF,57,162,47,69,12,1,13,37,18,16,8,2,0.426,0.508,0.753,9,0,1,122,26,0,0,0,0,190,Hill,1
10,Chloe,Randall,Freshman,P,33,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Hill,1
11,Michelle,Macias,Freshman,UT,28,33,9,6,1,0,0,3,7,13,1,1,0.182,0.357,0.212,2,0,0,7,1,0,0,0,0,42,Hill,1
12,Bentleigh,Inocencio,Freshman,UT,33,87,24,24,4,1,3,15,9,21,5,1,0.276,0.357,0.448,2,0,1,39,8,0,0,0,0,99,Hill,1
